nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,south66,black,smsa,south,smsa66,wage,enroll,kww,iq,married,libcrd14,exper,region
0,0,7,29,NA,NA,158413,1,0,0,0,1,1,0,1,548,0,15,NA,1,0,16,1
0,0,12,27,8,8,380166,1,0,0,0,0,1,0,1,481,0,35,93,1,1,9,1
0,0,12,34,14,12,367470,1,0,0,0,0,1,0,1,721,0,42,103,1,1,16,1
1,1,11,27,11,12,380166,1,0,0,0,0,1,0,1,250,0,25,88,1,1,10,2
1,1,12,34,8,7,367470,1,0,0,0,0,1,0,1,729,0,34,108,1,0,16,2
1,1,12,26,9,12,380166,1,0,0,0,0,1,0,1,500,0,38,85,1,1,8,2
1,1,18,33,14,14,367470,1,0,0,0,0,1,0,1,565,0,41,119,1,1,9,2
1,1,14,29,14,14,496635,1,0,0,0,0,1,0,1,608,0,46,108,1,1,9,2
1,1,12,28,12,12,367772,1,0,0,0,0,1,0,1,425,0,32,96,4,0,10,2
1,1,12,29,12,12,480445,1,0,0,0,0,1,0,1,515,0,34,97,1,1,11,2
1,1,9,28,11,12,380166,1,0,0,0,0,1,0,1,225,0,29,84,1,0,13,9
1,1,12,26,11,6,380166,1,0,0,0,0,1,0,1,400,0,34,89,1,1,8,2
1,1,11,24,11,6,369567,1,0,0,0,0,1,0,1,417,0,22,93,1,1,7,2
1,1,11,30,11,6,496635,1,0,0,0,0,1,0,1,217,0,27,74,1,0,13,2
1,1,16,31,NA,8,648053,0,1,0,0,1,1,0,1,894,0,43,116,1,1,9,2
1,1,14,24,15,12,357519,1,0,0,0,0,1,0,1,300,0,36,NA,6,1,4,2
1,1,12,34,12,8,367470,1,0,0,0,0,1,0,1,346,0,40,93,1,1,16,2
1,1,14,29,NA,12,496635,0,1,0,0,0,1,0,1,658,0,35,100,1,1,9,2
1,1,10,26,8,8,367772,1,0,0,0,0,1,0,1,575,0,24,91,6,0,10,2
1,1,12,32,8,8,355491,1,0,0,0,0,1,0,1,649,0,35,88,1,0,14,2
1,1,18,32,12,13,367470,1,0,0,0,0,1,1,1,944,0,43,NA,1,1,8,1
1,1,18,34,NA,8,408301,1,0,0,0,0,1,0,1,614,0,50,114,1,1,10,1
1,1,15,32,5,14,367470,1,0,0,0,0,0,0,1,726,0,37,111,1,1,11,1
0,1,12,28,14,12,380166,1,0,0,0,0,1,0,1,604,0,44,NA,1,1,10,1
0,1,12,32,11,12,367470,1,0,0,0,0,1,0,1,693,0,44,95,1,1,14,1
0,1,18,34,14,13,367470,1,0,0,0,0,0,0,1,1400,0,44,132,1,1,10,1
0,1,12,26,7,12,367772,1,0,0,0,0,1,0,1,300,0,27,NA,6,1,8,1
0,1,18,32,16,16,355491,1,0,0,0,0,1,0,1,1800,0,38,109,5,1,8,2
0,1,12,25,11,12,357519,1,0,0,0,0,1,0,1,413,0,43,108,1,1,7,1
0,1,14,29,NA,16,496635,0,1,0,0,0,0,0,0,632,0,45,102,1,1,9,1
1,1,12,25,12,12,90339,1,0,0,0,0,1,0,1,208,0,30,106,1,1,7,2
1,1,12,25,NA,11,102031,0,1,0,0,1,1,0,1,457,0,40,104,6,1,7,2
1,1,16,24,10,10,369567,1,0,0,0,0,1,0,1,824,0,24,119,1,1,2,2
1,1,18,34,NA,12,408301,0,1,0,0,0,1,0,1,577,0,47,122,1,1,10,2
1,1,11,28,6,10,380166,0,0,1,0,0,1,0,1,255,0,32,90,1,1,11,2
1,1,16,30,12,12,496635,1,0,0,0,0,1,0,1,962,0,47,118,1,1,8,2
1,1,10,31,8,6,496635,1,0,0,0,0,1,0,1,944,0,37,105,1,0,15,2
1,1,18,34,8,11,367470,1,0,0,0,0,1,0,1,1146,1,43,115,1,1,10,2
1,1,6,27,2,6,104596,1,0,0,0,0,1,0,1,324,0,16,NA,1,1,15,2
1,1,11,24,6,12,102031,1,0,0,0,1,1,0,1,235,0,27,65,5,1,7,2
1,1,12,34,11,10,367470,1,0,0,0,0,1,0,1,1000,0,45,120,1,0,16,2
1,1,9,26,NA,12,422407,0,1,0,0,0,1,0,1,481,0,31,86,4,1,11,2
1,1,15,32,10,12,89826,1,0,0,0,0,1,0,1,624,0,39,109,1,1,11,2
1,1,11,34,8,10,89826,1,0,0,0,0,1,0,1,650,0,36,72,1,0,17,2
1,1,12,24,NA,10,102031,0,1,0,0,1,1,0,1,344,0,31,NA,6,0,6,2
1,1,16,24,12,10,369567,1,0,0,0,0,1,1,1,380,0,NA,NA,6,0,2,2
1,1,12,24,12,11,369567,1,0,0,0,0,1,0,1,353,0,25,101,1,1,6,2
1,1,13,25,NA,12,369567,0,1,0,0,0,1,0,1,659,0,29,105,6,1,6,2
1,1,17,28,10,10,380166,1,0,0,0,0,1,0,1,621,1,48,136,1,1,5,2
1,1,12,25,10,11,369567,1,0,0,0,0,1,0,1,440,0,40,101,1,1,7,2
1,1,12,26,12,10,104596,1,0,0,0,1,1,0,1,738,0,34,96,6,1,8,2
1,1,11,31,5,5,158413,1,0,0,0,1,0,1,1,280,0,36,NA,1,0,14,2
1,1,10,24,5,NA,369567,0,0,0,0,0,1,0,1,434,0,34,NA,1,1,8,2
