cost,fuel,output,capital,labor
0.213,18,8,64.945,6869.47
3.0427,21.067,869,68.227,8372.96
9.4059,41.53,1412,40.692,7960.9
0.7606,28.539,65,41.243,8971.89
2.2587,39.2,295,71.94,8218.4
1.3422,35.51,183,74.43,5063.49
0.6159,32.07,50,90.47,9204.24
0.4887,34.15,14,86.11,5438.89
1.1474,21.503,90,79.101,7189.67
7.5492,9,2969,80.657,8183.34
2.0532,26.3014,374,82.485,7884.94
0.6363,25.4,67,58.258,6696.5
3.1504,42.4683,378,60.277,7895.43
10.3136,25.6,1886,67.68,6833.93
5.8488,22.2793,1025,68.227,7093.32
4.505,26.85,467,76.3,8410.34
5.5971,25.4,938,77.197,7703.26
3.7255,21.1619,643,64.506,7332.13
6.0065,25.2319,1328,51.817,6680.77
12.783,30.971,2632,70.295,8469.84
6.6214,39.5812,856,67.68,8033.72
9.6429,23.4889,2689,78.44,6364.4
8.6852,31.6801,1627,79.22,7912.4
8.6372,33.9,1090,39.127,8507.92
11.2419,29.1,2258,81.096,6892.61
6.6221,21.3951,1500,82.84,7588.7
10.9665,27.4207,2506,57.24,7412.36
13.627,30.6712,2437,65.565,7846.06
7.4395,21.4305,1293,78.225,6821.09
9.7843,31.3374,1627,76.14,8355.75
20.8671,33.1992,3965,74.48,8403.59
19.7092,50.4516,2682,81.75,9484.85
14.0431,30.6446,2001,74.025,8611.53
10.1902,21.197,2764,66.232,6338
16.1764,32.6186,2487,66.622,8088.45
42.2514,39.2104,7320,92.063,5879.51
22.5612,41.5951,3571,78.255,7297.71
33.0175,28.4405,6837,69.795,7310.15
18.8963,46.9,2020,79.57,10806.2
13.2679,28.3648,2445,76.14,8764.75
21.5454,35.2049,3981,75.082,8186.05
35.5303,29.825,6770,67.57,7798.26
29.8011,47.4257,4187,74.12,7996.44
30.8773,27.8498,5643,61.04,10182.49
24.3565,18.5909,6793,70.295,6336.88
17.4802,24.5837,4148,74.025,7536.89
19.9008,22.2448,5785,71.91,7969.55
28.7861,20.263,9660,79.542,6686.73
27.0832,20.11,7896,74.513,7119.96
22.4421,25.916,5648,78.44,8954.12
30.2067,38.3384,5286,73.325,7084.1
30.1678,20.201,9602,59.977,7054.18
32.584,22.838,7930,48.997,7119.01
47.3864,31.5825,9530,83.88,7624.57
24.2903,27.838,5316,74.025,9759.83
31.2922,23.5267,7484,67.68,8063.73
31.9884,18.534300000000002,10149,73.14,6437.92
41.9016,21.755,12954,62.33,6460.64
58.1154,20.6191,17875,73.395,6288.41
40.5281,35.9651,6891,74.12,6769.55
37.0666,25.6208,6754,77.197,10177.89
25.1686,20.279,6779,74.2,7826.93
45.1827,22.033,12936,65.76,8320.06
55.1764,31.7601,10855,71.49,8061.96
41.1798,24.5804,9275,76.14,8657.53
80.3593,40.9692,16311,81.55,7282.61
68.48,35.7882,12542,80.385,8142.84
97.3859,44.1571,13846,88.54,7786.37
52.7634,35.8083,9145,81.75,10373.5
38.8472,25.824,10057,81.578,6035.95
48.1125,22.5536,11114,69.975,8413.86
79.0705,37.2477,12706,70.853,9282.51
111.8863,33.3944,23217,83.88,6873.73
77.8849,34.9616,13702,70.85,7113.79
87.1015,20.3,27708,63.6,6378.23
57.7267,28.0959,10004,76.3,6472.86
90.7168,36.8816,17280,72.967,9191.47
183.2315,41.7578,27118,78.48,9914.36
169.2354,31.5897,38343,65.992,9117.16
76.2528,46.0701,11667,80.66,10436.32
134.2283,38.8027,19445,67.58,9829.32
168.3777,40.5286,34212,80.385,5683.83
125.3356,33.0932,24001,74.372,8047.35
191.5625,36.3076,30958,69.541,9810.1
240.5137,41.8872,29613,81.75,9312.93
0.1304,33.199,4,92.65,6009.7
0.7293,33.707,60,75.464,7972.71
1.7705,46.16,153,57.612,10963.9
2.2367,38,198,64.945,7046.5
2.5593,33.436,243,81.75,7000.81
2.0358,18.49,617,81.75,9547.72
7.6236,38.1483,1340,79.22,6438.42
11.1091,28.2634,1961,82.485,6964.81
9.4674,22.6933,2233,59.957,6717.18
13.8262,34.1811,2582,77.531,8334.89
17.2895,45.6636,2763,80.66,8058.91
16.1704,30.2374,2863,81.55,7509.37
24.3975,38,3490,75.42,8477.23
27.2443,35.6645,4568,76.14,9619.76
29.487,22.8374,5292,76.14,8176.33
35.1091,42.6351,5699,80.37,7988.48
25.4814,24.2596,5702,78.225,6947.11
42.4117,27.8693,8650,72.967,7146.67
72.0355,37.5174,12724,74.025,8037.84
146.989,33.4742,25147,75.725,9900.76
51.7415,28.1423,10361,68.016,9578.63
21.5587,30.8894,3886,63.569,9538.68
14.271,36,1901,69.411,9822.64
66.1032,31.3321,11837,75.379,8709.43
113.2555,25.0289,22522,76.732,9500.78
90.3718,22.9115,21956,83.338,7954.47
240.4858,31.1954,53918,78.38,6068.87
277.2965,25.0914,72247,56.301,7419.92
107.9776,32.9654,18455,76.3,6690.23
269.7728,33.1999,46870,69.541,9761.38
79.6207,42.2086,16508,78.044,9404.97
33.8814,25.9001,7382,72.362,7512.72
14.9529,38.9161,2325,53.89,8568.23
33.9733,42.166,5708,78.102,10024.2
78.7028,25.5378,17132,78.899,8160.8
19.4391,23.7777,4560,76.464,8558.37
282.2479,36.51,48240,70.77,9673.38
282.9401,34.64,53760,73.46,9619.9
469.1852,41.01,66490,78.98,9138.03
737.4088,38.85,115500,76.62,8438.8
20.8836,21.292,6259,69.764,6697.02
21.7792,20.1,6746,49.778,9419.27
22.8436,34.259,3789,76.3,6429.54
31.6368,41.989,4617,70.806,6488.39
48.1678,26.892,9326,81.794,7131.92
5.9281,43.884,723,62.086,6432.54
25.6094,21.269,6604,90.87,7714.34
17.463,23.469,3972,88.54,6446.05
1.3643,35.78,154,87.465,8290.99
46.7988,23.626,11226,83.886,8885.39
50.2093,26.164,13030,55.92,6735
40.894,26.847,9553,61.335,7287.17
24.7234,28.478,5331,43.418,7861.41
30.224,25.18,6904,31.725,11145.22
31.2161,21.58,9057,31.725,10599.86
106.2729,24.443,28372,66.58,7502.93
55.3624,26.281,13073,76.32,7024.36
23.4787,28.716,4906,82.668,6738.3
22.2623,26.615,5601,68.858,7581.69
30.4707,30.77,8060,37.058,7000
113.591,36.037,22277,82.668,5571.05
88.0991,20.5168,26521,68.644,6890.26
111.9243,23.0916,31908,75.218,6971.54
119.3736,22.1481,33820,70.808,7263.52
12.3243,30.59,2816,58.86,13044
0.3158,33.46,16.3,38.106,7727.77
10.5287,36,1823,69.76,10029.47
22.1998,32.25,4800,33.84,12742.47
6.8293,51.463,946.6,43.6,10642.16
3.7605,33.436,377,74.12,7432.24
3.9822,44.633,391,78.288,5826.04
30.188,41.84,5317,78.008,9586.63
67.8562,25.662,15220,74.025,6986.09
